Week,Sun,Mon,Tue,Wed,Thu,Fri,Sat
1,Cross,Rest,3 mi run,5 m pace,3 mi run,Rest,8
2,Cross,Rest,3 mi run,5 mi run,3 mi run,Rest,9
3,Cross,Rest,3 mi run,5 m pace,3 mi run,Rest,6
4,Cross,Rest,3 mi run,6 m pace,3 mi run,Rest,11
5,Cross,Rest,3 mi run,6 mi run,3 mi run,Rest,12
6,Cross,Rest,3 mi run,6 m pace,3 mi run,Rest,9
7,Cross,Rest,4 mi run,7 m pace,4 mi run,Rest,14
8,Cross,Rest,4 mi run,7 mi run,4 mi run,Rest,15
9,Half Marathon,Rest,4 mi run,7 m pace,4 mi run,Rest,Rest
10,Cross,Rest,4 mi run,8 m pace,4 mi run,Rest,17
11,Cross,Rest,5 mi run,8 mi run,5 mi run,Rest,18
12,Cross,Rest,5 mi run,8 m pace,5 mi run,Rest,13
13,Cross,Rest,5 mi run,5 m pace,5 mi run,Rest,19
14,Cross,Rest,5 mi run,8 mi run,5 mi run,Rest,12
15,Cross,Rest,5 mi run,5 m pace,5 mi run,Rest,20
16,Cross,Rest,5 mi run,4 m pace,5 mi run,Rest,12
17,Cross,Rest,4 mi run,3 mi run,4 mi run,Rest,8
18,Marathon,Rest,3 mi run,2 mi run,Rest,Rest,2 mi run
